Country,Code,Population,GDP per Capita,Total
United States of America,USA,321418820,56115.71843,5002
Russia,RUS,144096812,9092.580536,3188
Germany,GER,81413145,41313.31399,3126
United Kingdom,GBR,65138232,43875.96961,1985
France,FRA,66808385,36205.5681,1627
Italy,ITA,60802085,29957.80432,1446
Australia,AUS,23781169,56310.96299,1333
Hungary,HUN,9844686,12363.54346,1123
Sweden,SWE,9798871,50579.67365,1108
Netherlands,NED,16936520,44299.76809,918
China,CHN,1371220000,8027.68381,913
Japan,JPN,126958472,32477.21514,850
Canada,CAN,35851774,43248.52991,741
Romania,ROM,19832389,8972.922518,651
Denmark,DEN,5676002,51989.29347,592
Norway,NOR,5195921,74400.36978,590
South Korea,KOR,50617045,27221.52405,552
Poland,POL,37999494,12554.54755,538
Republic of Serbia,SCG,7098247,5235.142207,532
Spain,ESP,46418269,25831.58231,487
Brazil,BRA,207847528,8538.589975,475
Finland,FIN,5482013,42311.03623,474
Belgium,BEL,11285721,40324.02777,455
Switzerland,SUI,8286976,80945.07922,416
Czech Republic,CZE,10551219,17548.33821,413
Cuba,CUB,11389562,,409
Bulgaria,BUL,7177991,6993.47736,336
Argentina,ARG,43416755,13431.87834,274
Greece,GRE,10823732,18002.23058,255
New Zealand,NZL,4595700,37807.96728,227
India,IND,1311050527,1598.259034,190
Ukraine,UKR,45198200,2114.954716,188
Austria,AUT,8611088,43774.98517,170
Jamaica,JAM,2725941,5232.024583,157
Croatia,CRO,4224404,11535.82936,138
South Africa,RSA,54956920,5723.973357,131
Belarus,BLR,9513000,5740.456495,124
Pakistan,PAK,188924874,1434.696665,121
Mexico,MEX,127017224,9005.024265,110
Kenya,KEN,46050302,1376.712829,106
Nigeria,NGR,182201962,2640.290739,99
Turkey,TUR,78665830,9125.68759,95
Kazakhstan,KAZ,17544126,10509.98107,70
Uruguay,URU,3431555,15573.90092,63
Lithuania,LTU,2910199,14147.04938,61
Ethiopia,ETH,99390750,619.1694065,53
Azerbaijan,AZE,9651349,5496.34464,44
Estonia,EST,1311998,17118.5042,43
Slovakia,SVK,5424050,16088.27759,42
Portugal,POR,10348648,19222.15008,41
Indonesia,INA,257563815,3346.487039,41
Bahamas,BAH,388019,22817.23086,40
Ireland,IRL,4640703,61133.67243,35
Uzbekistan,UZB,31299500,2132.070368,33
Georgia,GEO,3679000,3795.973308,32
Chile,CHI,17948141,13416.23004,32
Slovenia,SLO,2063768,20726.53989,30
Thailand,THA,67959359,5814.769764,30
Colombia,COL,48228704,6056.147717,28
Egypt,EGY,91508084,3614.746766,27
Mongolia,MGL,2959134,3967.829386,26
Ghana,GHA,27409893,1369.701122,23
Morocco,MAR,34377511,2878.201342,23
Cameroon,CMR,23344179,1217.26067,22
Zimbabwe,ZIM,15602751,924.1438193,22
Latvia,LAT,1978440,13648.54756,20
Iceland,ISL,330823,50173.33992,17
Algeria,ALG,39666519,4206.031232,17
Paraguay,PAR,6639123,4080.951448,17
Armenia,ARM,3017712,3489.12769,16
Malaysia,MAS,30331007,9768.32686,16
Peru,PER,31376670,6027.125855,15
Venezuela,VEN,31108083,,15
Tunisia,TUN,11107800,3872.512084,13
Fiji,FIJ,892145,4960.519954,13
Philippines,PHI,100699395,2904.202082,10
Puerto Rico,PUR,3474182,,9
Israel,ISR,8380400,35728.0935,9
Moldova,MDA,3554150,1848.061804,8
Haiti,HAI,10711067,818.3432976,7
Dominican Republic,DOM,10528391,6468.473492,7
Uganda,UGA,39032383,705.2925695,7
Saudi Arabia,KSA,31540372,20481.74532,6
Luxembourg,LUX,569676,101449.9682,6
Qatar,QAT,2235355,73653.39443,5
Tajikistan,TJK,8481855,925.9118877,4
Lebanon,LIB,5850743,8047.645086,4
Namibia,NAM,2458830,4673.567248,4
Vietnam,VIE,91703800,2111.138024,4
Costa Rica,CRC,4807850,11260.09216,4
Panama,PAN,3929141,13268.11375,3
Bahrain,BRN,1377237,22600.2141,3
Kyrgyzstan,KGZ,5957000,1103.215352,3
Zambia,ZAM,16211767,1304.879014,2
Burundi,BDI,11178921,277.0683092,2
Sri Lanka,SRI,20966000,3926.174396,2
United Republic of Tanzania,TAN,53470420,878.9751055,2
United Arab Emirates,UAE,9156963,40438.76293,2
Suriname,SUR,542975,9485.319244,2
Grenada,GRN,106825,9212.020352,2
Afghanistan,AFG,32526562,594.3230812,2
Ecuador,ECU,16144363,6205.064145,2
Mozambique,MOZ,27977863,529.2425561,2
Kuwait,KUW,3892115,29300.57558,2
Niger,NIG,19899120,358.958152,2
Mauritius,MRI,1262605,9252.110724,1
Barbados,BAR,284215,15429.34046,1
Jordan,JOR,7594547,4940.045836,1
Botswana,BOT,2262485,6360.13822,1
Sudan,SUD,40234882,2414.723601,1
Guyana,GUY,767085,4127.351018,1
Guatemala,GUA,16342897,3903.478856,1
Senegal,SEN,15129273,899.5798795,1
Tonga,TGA,106170,4098.543929,1
Togo,TOG,7304578,559.6358767,1
Macedonia,MKD,2078453,4852.657848,1
Cyprus,CYP,1165300,23242.84007,1
Gabon,GAB,1725292,8266.445605,1
Djibouti,DJI,887861,1945.124293,1
Iraq,IRQ,36423395,4943.760388,1
